CardID,CustomerID,CardType,CreditLimit,IssueDate
CRD0064,C041,Gold,26000.0,2025-08-29
CRD0065,C041,Gold,37000.0,2020-03-14
CRD0066,C041,Platinum,50000.0,2023-06-09
CRD0067,C042,Platinum,114000.0,2023-12-09
CRD0068,C043,Silver,30000.0,2025-08-31
CRD0069,C044,Gold,69000.0,2021-04-02
CRD0070,C045,Platinum,100000.0,2022-07-31
CRD0071,C046,Student,9000.0,2025-06-16
CRD0072,C047,Platinum,85000.0,2023-05-29
CRD0073,C047,Gold,61000.0,2021-03-29
CRD0074,C048,Gold,68000.0,2025-03-03
CRD0075,C048,Platinum,143000.0,2024-03-05
CRD0076,C049,Silver,19000.0,2019-10-11
CRD0077,C049,Student,8000.0,2024-08-07
CRD0078,C049,Gold,67000.0,2021-09-18
CRD0079,C050,Platinum,98000.0,2023-03-25
CRD0080,C051,Student,9000.0,2025-07-12
CRD0081,C052,Gold,69000.0,2023-09-10
CRD0082,C053,Gold,48000.0,2025-01-08
CRD0083,C054,Business,127000.0,2021-10-13
CRD0084,C054,Silver,21000.0,2020-11-12
CRD0085,C055,Gold,66000.0,2023-06-25
CRD0086,C055,Student,7000.0,2023-10-30
CRD0087,C056,Platinum,78000.0,2024-09-22
CRD0088,C057,Silver,26000.0,2023-12-31
CRD0089,C057,Student,9000.0,2025-08-07
CRD0090,C058,Platinum,53000.0,2024-05-31
CRD0091,C058,Platinum,103000.0,2019-12-18
CRD0092,C059,Student,4000.0,2022-11-27
CRD0093,C060,Gold,38000.0,2024-11-04
CRD0094,C061,Gold,53000.0,2024-01-28
CRD0095,C062,Silver,13000.0,2019-04-03
CRD0096,C063,Student,4000.0,2021-09-26
CRD0097,C063,Student,10000.0,2020-10-17
CRD0098,C064,Gold,54000.0,2021-08-07
CRD0099,C065,Silver,21000.0,2023-11-06
CRD0100,C065,Student,5000.0,2024-01-16
CRD0101,C066,Gold,70000.0,2021-05-29
CRD0102,C066,Platinum,146000.0,2019-09-14
CRD0103,C067,Gold,59000.0,2021-02-04
CRD0104,C067,Platinum,75000.0,2024-02-18
CRD0105,C068,Silver,25000.0,2024-12-01
CRD0106,C069,Gold,49000.0,2025-11-08
CRD0107,C069,Gold,32000.0,2022-11-26
CRD0108,C069,Gold,54000.0,2020-12-07
CRD0109,C070,Platinum,97000.0,2025-08-14
CRD0110,C070,Platinum,67000.0,2022-07-06
CRD0111,C071,Student,4000.0,2023-03-10
CRD0112,C072,Gold,51000.0,2025-09-08
CRD0113,C072,Platinum,99000.0,2023-09-29
CRD0114,C073,Platinum,91000.0,2020-12-10
CRD0115,C074,Platinum,111000.0,2021-02-05
CRD0116,C074,Platinum,107000.0,2019-08-08
CRD0117,C075,Business,224000.0,2020-07-13
CRD0118,C075,Platinum,99000.0,2025-04-19
CRD0119,C076,Gold,68000.0,2024-07-07
CRD0120,C077,Silver,25000.0,2020-11-16
CRD0121,C078,Platinum,147000.0,2021-06-22
CRD0122,C079,Silver,27000.0,2022-03-28
CRD0123,C080,Gold,72000.0,2024-07-21
CRD0124,C081,Platinum,64000.0,2022-01-02
CRD0125,C082,Silver,21000.0,2025-01-29
CRD0126,C082,Gold,54000.0,2023-12-13
CRD0127,C083,Student,3000.0,2021-10-10
CRD0128,C084,Student,9000.0,2021-12-12
CRD0129,C085,Gold,53000.0,2020-04-25
CRD0130,C086,Gold,72000.0,2025-08-05
CRD0131,C086,Gold,62000.0,2023-10-20
CRD0132,C087,Platinum,76000.0,2021-04-27
CRD0133,C088,Gold,59000.0,2022-02-25
CRD0134,C088,Gold,35000.0,2022-08-18
CRD0135,C089,Gold,58000.0,2021-12-31
CRD0136,C089,Student,10000.0,2020-01-26
CRD0137,C089,Gold,73000.0,2023-08-13
CRD0138,C090,Business,267000.0,2020-06-03
CRD0139,C090,Gold,33000.0,2021-10-19
CRD0140,C090,Platinum,91000.0,2021-10-10
CRD0141,C091,Student,9000.0,2020-08-05
CRD0142,C091,Student,6000.0,2023-08-24
CRD0143,C092,Platinum,148000.0,2020-01-17
CRD0144,C093,Gold,69000.0,2023-02-20
CRD0145,C094,Gold,62000.0,2019-01-11
CRD0146,C095,Silver,12000.0,2024-02-21
CRD0147,C095,Platinum,137000.0,2023-01-07
CRD0148,C096,Silver,22000.0,2021-06-11
CRD0149,C096,Business,154000.0,2024-07-19
CRD0150,C097,Silver,20000.0,2025-02-19
CRD0151,C098,Platinum,83000.0,2022-11-08
CRD0152,C098,Silver,11000.0,2019-07-08
CRD0153,C099,Gold,54000.0,2019-03-08
CRD0154,C100,Student,9000.0,2024-02-13
CRD0155,C101,Student,5000.0,2020-06-24
CRD0156,C102,Platinum,85000.0,2020-01-18
CRD0157,C102,Gold,41000.0,2019-12-04
CRD0158,C103,Student,4000.0,2019-08-01
CRD0159,C104,Gold,75000.0,2023-10-25
CRD0160,C105,Silver,10000.0,2021-05-24
CRD0161,C105,Gold,33000.0,2025-08-28
CRD0162,C106,Gold,25000.0,2019-02-03
CRD0163,C107,Gold,52000.0,2020-06-25
CRD0164,C107,Gold,39000.0,2023-04-19
CRD0165,C108,Student,3000.0,2022-07-07
CRD0166,C109,Platinum,98000.0,2020-06-29
CRD0167,C110,Platinum,55000.0,2024-12-12
CRD0168,C110,Gold,64000.0,2020-11-03
CRD0169,C111,Silver,30000.0,2020-09-12
CRD0170,C112,Gold,73000.0,2021-06-08
CRD0171,C112,Platinum,62000.0,2020-07-27
CRD0172,C112,Gold,30000.0,2023-04-22
CRD0173,C113,Gold,75000.0,2020-07-26
CRD0174,C114,Gold,40000.0,2025-03-16
CRD0175,C115,Gold,43000.0,2019-04-20
CRD0176,C115,Silver,19000.0,2021-04-21
CRD0177,C116,Gold,72000.0,2023-05-24
CRD0178,C117,Platinum,80000.0,2024-07-20
CRD0179,C118,Gold,65000.0,2025-08-29
CRD0180,C119,Silver,10000.0,2023-01-19
CRD0181,C120,Platinum,122000.0,2023-09-20
CRD0182,C120,Platinum,137000.0,2020-12-08
CRD0183,C120,Gold,74000.0,2019-10-26
CRD0184,C121,Platinum,83000.0,2021-06-02
CRD0185,C122,Platinum,100000.0,2024-09-06
CRD0186,C123,Silver,23000.0,2023-10-01
CRD0187,C124,Platinum,118000.0,2025-01-11
CRD0188,C124,Platinum,111000.0,2019-12-09
CRD0189,C125,Platinum,129000.0,2020-09-28
CRD0190,C126,Platinum,131000.0,2019-09-28
CRD0191,C127,Silver,17000.0,2019-08-26
CRD0192,C128,Gold,27000.0,2024-02-01
CRD0193,C129,Platinum,135000.0,2020-12-20
CRD0194,C129,Platinum,140000.0,2020-07-16
CRD0195,C130,Silver,21000.0,2024-11-12
CRD0196,C130,Student,6000.0,2020-11-14
CRD0197,C131,Gold,42000.0,2020-04-28
CRD0198,C132,Platinum,104000.0,2022-01-19
CRD0199,C132,Gold,41000.0,2025-06-19
CRD0200,C133,Silver,26000.0,2023-01-15
CRD0201,C133,Platinum,50000.0,2020-11-14
CRD0202,C134,Platinum,63000.0,2025-06-08
CRD0203,C135,Platinum,144000.0,2024-09-15
CRD0204,C135,Platinum,51000.0,2021-09-28
CRD0205,C136,Platinum,131000.0,2021-01-03
CRD0206,C137,Student,10000.0,2023-09-14
CRD0207,C137,Gold,40000.0,2023-09-01
CRD0208,C137,Silver,25000.0,2022-01-16
CRD0209,C138,Gold,32000.0,2024-08-18
CRD0210,C138,Gold,28000.0,2021-01-04
CRD0211,C139,Student,2000.0,2023-07-01
CRD0212,C140,Gold,43000.0,2022-06-26
CRD0213,C141,Gold,25000.0,2023-02-20
CRD0214,C142,Gold,44000.0,2021-09-20
CRD0215,C143,Gold,56000.0,2021-03-11
CRD0216,C144,Student,5000.0,2020-09-08
CRD0217,C144,Platinum,102000.0,2019-04-08
CRD0218,C145,Gold,69000.0,2019-02-09
CRD0219,C146,Platinum,134000.0,2023-03-22
CRD0220,C146,Student,6000.0,2020-03-01
CRD0221,C146,Silver,17000.0,2023-09-16
CRD0222,C147,Platinum,68000.0,2022-02-20
CRD0223,C148,Gold,66000.0,2023-08-19
CRD0224,C149,Gold,72000.0,2019-12-14
CRD0225,C149,Platinum,148000.0,2020-06-30
CRD0226,C150,Gold,62000.0,2025-05-14
CRD0227,C150,Platinum,134000.0,2020-06-19
CRD0228,C151,Platinum,90000.0,2023-05-29
CRD0229,C152,Gold,45000.0,2024-01-29
CRD0230,C152,Platinum,59000.0,2021-04-10
CRD0231,C153,Gold,31000.0,2020-09-28
CRD0232,C154,Platinum,146000.0,2023-07-24
CRD0233,C155,Platinum,148000.0,2021-04-30
CRD0234,C156,Student,3000.0,2020-01-06
CRD0235,C157,Gold,70000.0,2025-10-07
CRD0236,C158,Gold,52000.0,2020-08-30
CRD0237,C159,Student,7000.0,2023-06-12
CRD0238,C160,Gold,41000.0,2020-12-13
CRD0239,C161,Platinum,107000.0,2025-03-27
CRD0240,C162,Gold,54000.0,2020-02-22
CRD0241,C162,Silver,14000.0,2020-05-12
CRD0242,C163,Silver,17000.0,2020-06-19
CRD0243,C164,Gold,68000.0,2019-12-11
CRD0244,C165,Gold,29000.0,2019-03-31
CRD0245,C165,Silver,12000.0,2023-12-22
CRD0246,C166,Platinum,92000.0,2020-05-16
CRD0247,C166,Platinum,109000.0,2019-07-27
CRD0248,C167,Gold,71000.0,2023-06-06
CRD0249,C168,Gold,52000.0,2020-12-08
CRD0250,C169,Business,170000.0,2022-02-20
CRD0251,C170,Platinum,128000.0,2021-10-03
CRD0252,C171,Gold,60000.0,2024-05-16
CRD0253,C171,Platinum,85000.0,2023-04-18
CRD0254,C172,Gold,58000.0,2021-10-17
CRD0255,C173,Gold,75000.0,2019-03-21
CRD0256,C173,Business,300000.0,2023-01-10
CRD0257,C174,Silver,21000.0,2025-05-05
CRD0258,C175,Platinum,73000.0,2019-04-17
CRD0259,C176,Business,299000.0,2022-02-24
CRD0260,C177,Student,10000.0,2023-01-04
CRD0261,C178,Student,4000.0,2020-02-15
CRD0262,C178,Student,5000.0,2021-12-27
CRD0263,C179,Silver,11000.0,2021-06-17
CRD0264,C180,Business,199000.0,2022-12-24
CRD0265,C180,Silver,15000.0,2020-12-22
CRD0266,C181,Platinum,144000.0,2023-01-09
CRD0267,C182,Platinum,139000.0,2022-12-11
CRD0268,C182,Business,244000.0,2020-08-05
CRD0269,C182,Gold,37000.0,2024-07-09
CRD0270,C183,Platinum,54000.0,2020-01-05
CRD0271,C184,Silver,10000.0,2024-11-26
CRD0272,C185,Student,5000.0,2020-06-18
CRD0273,C186,Gold,45000.0,2019-09-01
CRD0274,C187,Gold,34000.0,2020-03-30
CRD0275,C188,Student,3000.0,2023-03-11
CRD0276,C188,Silver,22000.0,2025-07-28
CRD0277,C189,Silver,28000.0,2020-10-07
CRD0278,C190,Platinum,131000.0,2024-06-18
CRD0279,C190,Gold,36000.0,2025-04-20
CRD0280,C191,Silver,10000.0,2021-07-03
CRD0281,C191,Silver,15000.0,2023-03-30
CRD0282,C192,Gold,33000.0,2020-12-28
CRD0283,C193,Business,246000.0,2023-05-23
CRD0284,C193,Silver,28000.0,2019-05-13
CRD0285,C194,Platinum,128000.0,2021-06-23
CRD0286,C195,Platinum,113000.0,2020-07-30
CRD0287,C195,Platinum,59000.0,2021-09-01
CRD0288,C196,Platinum,131000.0,2019-12-30
CRD0289,C197,Gold,71000.0,2022-10-07
CRD0290,C197,Platinum,83000.0,2021-05-08
CRD0291,C198,Platinum,82000.0,2020-03-18
CRD0292,C199,Platinum,106000.0,2023-09-15
CRD0293,C199,Business,205000.0,2024-07-12
CRD0294,C200,Silver,21000.0,2020-02-20
CRD0295,C200,Student,5000.0,2020-10-28
CRD0296,C201,Gold,27000.0,2022-04-22
CRD0297,C202,Platinum,63000.0,2019-10-31
CRD0298,C203,Silver,27000.0,2019-11-04
CRD0299,C204,Silver,12000.0,2022-10-16
CRD0300,C205,Silver,25000.0,2019-05-07
CRD0301,C205,Platinum,53000.0,2020-11-06
CRD0302,C206,Platinum,56000.0,2020-02-19
CRD0303,C206,Platinum,74000.0,2023-08-04
CRD0304,C207,Gold,71000.0,2025-01-21
CRD0305,C207,Platinum,86000.0,2022-05-03
CRD0306,C208,Platinum,123000.0,2025-03-01
CRD0307,C209,Silver,21000.0,2019-01-16
CRD0308,C209,Student,6000.0,2025-09-24
CRD0309,C210,Gold,56000.0,2020-11-30
CRD0310,C211,Business,221000.0,2020-04-18
CRD0311,C211,Gold,50000.0,2024-04-12
CRD0312,C212,Platinum,107000.0,2025-02-06
CRD0313,C213,Student,8000.0,2023-02-22
CRD0314,C214,Platinum,106000.0,2024-03-19
CRD0315,C215,Silver,28000.0,2019-09-10
CRD0316,C216,Silver,13000.0,2019-12-18
CRD0317,C217,Silver,23000.0,2025-08-12
CRD0318,C217,Gold,28000.0,2023-05-05
CRD0319,C218,Gold,59000.0,2024-04-28
CRD0320,C218,Platinum,105000.0,2024-05-04
CRD0321,C219,Student,2000.0,2024-08-18
CRD0322,C220,Platinum,80000.0,2020-08-26
CRD0323,C220,Platinum,146000.0,2024-01-14
CRD0324,C221,Student,5000.0,2021-02-28
CRD0325,C222,Gold,68000.0,2023-11-19
CRD0326,C223,Student,4000.0,2025-09-03
CRD0327,C224,Student,3000.0,2019-12-23
CRD0328,C225,Platinum,91000.0,2022-02-05
CRD0329,C226,Business,103000.0,2025-08-03
CRD0330,C227,Platinum,103000.0,2020-09-04
CRD0331,C228,Gold,73000.0,2020-02-15
CRD0332,C229,Student,3000.0,2022-03-17
CRD0333,C229,Student,7000.0,2023-08-11
CRD0334,C229,Student,9000.0,2025-06-01
CRD0335,C230,Platinum,85000.0,2023-07-09
CRD0336,C230,Platinum,127000.0,2023-07-04
CRD0337,C231,Silver,20000.0,2021-08-31
CRD0338,C232,Platinum,74000.0,2023-03-06
CRD0339,C233,Gold,26000.0,2022-06-27
CRD0340,C234,Student,3000.0,2021-07-22
CRD0341,C235,Silver,17000.0,2022-08-07
CRD0342,C236,Silver,30000.0,2020-01-01
CRD0343,C237,Platinum,102000.0,2024-06-07
CRD0344,C238,Gold,36000.0,2024-10-11
CRD0345,C238,Gold,29000.0,2022-06-28
CRD0346,C239,Platinum,149000.0,2024-11-17
CRD0347,C239,Silver,10000.0,2020-12-12
CRD0348,C240,Silver,11000.0,2021-10-18
CRD0349,C241,Platinum,69000.0,2021-03-26
CRD0350,C242,Silver,26000.0,2023-06-14
CRD0351,C243,Platinum,53000.0,2021-09-17
CRD0352,C243,Platinum,126000.0,2024-01-02
CRD0353,C244,Silver,28000.0,2025-03-08
CRD0354,C245,Platinum,83000.0,2020-01-06
CRD0355,C246,Silver,15000.0,2025-06-01
CRD0356,C247,Gold,39000.0,2021-07-11
CRD0357,C247,Gold,46000.0,2023-08-05
CRD0358,C248,Silver,10000.0,2024-04-25
CRD0359,C249,Silver,29000.0,2019-02-04
CRD0360,C249,Gold,63000.0,2022-06-05
CRD0361,C249,Silver,30000.0,2022-02-01
CRD0362,C250,Gold,47000.0,2024-02-24
CRD0363,C251,Silver,26000.0,2023-06-15
CRD0364,C252,Platinum,134000.0,2023-03-13
CRD0365,C252,Gold,63000.0,2025-10-30
CRD0366,C253,Silver,25000.0,2019-09-19
CRD0367,C254,Platinum,91000.0,2022-02-08
CRD0368,C255,Gold,66000.0,2022-05-08
CRD0369,C256,Student,5000.0,2019-08-21
CRD0370,C257,Silver,29000.0,2023-07-14
CRD0371,C257,Silver,14000.0,2019-04-15
CRD0372,C258,Business,166000.0,2023-09-11
CRD0373,C258,Platinum,144000.0,2019-05-25
CRD0374,C259,Student,5000.0,2022-11-06
CRD0375,C259,Gold,39000.0,2024-12-29
CRD0376,C260,Gold,67000.0,2023-01-08
CRD0377,C260,Gold,35000.0,2025-04-05
CRD0378,C261,Platinum,66000.0,2021-11-25
CRD0379,C262,Platinum,128000.0,2022-10-06
CRD0380,C262,Gold,39000.0,2022-12-26
CRD0381,C263,Silver,23000.0,2022-09-19
CRD0382,C264,Student,9000.0,2020-04-27
CRD0383,C265,Gold,55000.0,2025-07-04
CRD0384,C266,Platinum,74000.0,2024-08-11
CRD0385,C266,Platinum,137000.0,2023-04-13
CRD0386,C266,Platinum,150000.0,2019-08-10
CRD0387,C267,Platinum,75000.0,2022-11-04
CRD0388,C267,Platinum,133000.0,2024-02-18
CRD0389,C268,Silver,15000.0,2019-11-28
CRD0390,C269,Silver,15000.0,2022-07-07
CRD0391,C270,Platinum,85000.0,2021-05-07
CRD0392,C270,Gold,35000.0,2025-06-18
CRD0393,C271,Platinum,93000.0,2019-12-27
CRD0394,C271,Platinum,105000.0,2023-10-25
CRD0395,C272,Student,8000.0,2019-01-20
CRD0396,C273,Gold,43000.0,2019-02-27
CRD0397,C274,Student,10000.0,2021-02-19
CRD0398,C274,Gold,25000.0,2021-10-16
CRD0399,C275,Silver,19000.0,2020-06-12
CRD0400,C276,Silver,19000.0,2020-11-15
CRD0401,C277,Platinum,87000.0,2024-02-11
CRD0402,C278,Gold,46000.0,2023-11-12
CRD0403,C278,Silver,14000.0,2022-11-04
CRD0404,C279,Gold,73000.0,2021-02-10
CRD0405,C279,Platinum,101000.0,2019-03-20
CRD0406,C279,Platinum,143000.0,2020-06-21
CRD0407,C280,Platinum,114000.0,2020-11-23
CRD0408,C281,Silver,11000.0,2023-03-17
CRD0409,C282,Silver,25000.0,2019-07-19
CRD0410,C282,Silver,23000.0,2020-03-18
CRD0411,C283,Platinum,138000.0,2020-04-19
CRD0412,C283,Platinum,54000.0,2020-05-21
CRD0413,C284,Platinum,51000.0,2021-04-21
CRD0414,C285,Gold,44000.0,2023-09-20
CRD0415,C285,Gold,67000.0,2024-11-01
CRD0416,C286,Gold,33000.0,2023-09-12
CRD0417,C287,Platinum,142000.0,2020-04-27
CRD0418,C287,Platinum,150000.0,2020-03-11
CRD0419,C288,Student,6000.0,2024-11-12
CRD0420,C289,Platinum,102000.0,2022-04-24
CRD0421,C289,Platinum,120000.0,2024-07-26
CRD0422,C289,Silver,25000.0,2022-09-16
CRD0423,C290,Gold,30000.0,2020-03-28
CRD0424,C291,Student,4000.0,2020-01-04
CRD0425,C291,Silver,20000.0,2020-02-19
CRD0426,C292,Gold,54000.0,2022-04-27
CRD0427,C292,Platinum,56000.0,2020-02-13
CRD0428,C292,Gold,27000.0,2022-04-05
CRD0429,C293,Platinum,102000.0,2020-04-19
CRD0430,C294,Student,2000.0,2019-02-09
CRD0431,C295,Silver,15000.0,2022-09-08
CRD0432,C295,Silver,24000.0,2022-01-03
CRD0433,C296,Gold,27000.0,2021-01-19
CRD0434,C296,Gold,62000.0,2024-02-13
CRD0435,C297,Platinum,111000.0,2023-09-24
CRD0436,C298,Silver,13000.0,2020-06-26
CRD0437,C298,Gold,28000.0,2020-10-14
CRD0438,C299,Gold,68000.0,2025-05-19
CRD0439,C300,Platinum,98000.0,2023-01-08
CRD0440,C300,Gold,68000.0,2020-06-19
CRD0441,C301,Gold,51000.0,2023-12-11
CRD0442,C302,Student,7000.0,2019-02-20
CRD0443,C303,Student,5000.0,2022-10-17
CRD0444,C303,Student,3000.0,2023-11-08
CRD0445,C304,Student,7000.0,2023-04-26
CRD0446,C304,Silver,27000.0,2025-11-15
CRD0447,C305,Gold,35000.0,2024-09-01
CRD0448,C306,Silver,15000.0,2019-11-03
CRD0449,C306,Business,182000.0,2021-09-13
CRD0450,C307,Student,10000.0,2021-07-01
CRD0451,C308,Gold,40000.0,2019-11-19
CRD0452,C308,Platinum,113000.0,2024-01-10
CRD0453,C309,Gold,45000.0,2020-05-01
CRD0454,C310,Silver,10000.0,2020-02-25
CRD0455,C310,Gold,27000.0,2025-04-01
CRD0456,C310,Gold,30000.0,2025-10-10
CRD0457,C311,Student,10000.0,2025-04-22
CRD0458,C311,Gold,46000.0,2022-10-28
CRD0459,C311,Student,2000.0,2021-07-02
CRD0460,C312,Platinum,148000.0,2025-09-23
CRD0461,C312,Gold,67000.0,2023-01-28
CRD0462,C313,Gold,73000.0,2021-06-27
CRD0463,C313,Platinum,95000.0,2022-04-10
CRD0464,C314,Gold,31000.0,2019-07-07
CRD0465,C315,Gold,70000.0,2023-08-04
CRD0466,C315,Platinum,128000.0,2021-03-13
CRD0467,C316,Gold,68000.0,2021-06-02
CRD0468,C317,Platinum,137000.0,2022-10-16
CRD0469,C318,Gold,65000.0,2025-08-08
CRD0470,C319,Student,9000.0,2025-08-10
CRD0471,C320,Platinum,113000.0,2019-01-18
CRD0472,C320,Gold,28000.0,2025-03-16
CRD0473,C320,Business,249000.0,2024-06-01
CRD0474,C321,Business,145000.0,2025-06-27
CRD0475,C321,Gold,33000.0,2020-02-29
CRD0476,C321,Silver,29000.0,2025-10-18
CRD0477,C322,Silver,22000.0,2023-09-11
CRD0478,C322,Student,5000.0,2022-01-25
CRD0479,C323,Platinum,87000.0,2024-01-29
CRD0480,C324,Platinum,127000.0,2024-09-29
CRD0481,C324,Gold,69000.0,2025-02-21
CRD0482,C325,Silver,27000.0,2021-06-09
CRD0483,C325,Platinum,111000.0,2022-04-05
CRD0484,C326,Silver,14000.0,2020-12-29
CRD0485,C326,Gold,69000.0,2022-08-13
CRD0486,C327,Gold,60000.0,2024-05-21
CRD0487,C327,Gold,67000.0,2023-09-06
CRD0488,C328,Silver,23000.0,2022-03-17
CRD0489,C328,Student,8000.0,2019-02-22
CRD0490,C329,Platinum,68000.0,2019-08-06
CRD0491,C330,Gold,73000.0,2020-10-21
CRD0492,C330,Student,6000.0,2020-08-22
CRD0493,C331,Gold,43000.0,2021-04-15
CRD0494,C331,Silver,11000.0,2023-01-09
CRD0495,C332,Silver,27000.0,2021-07-07
CRD0496,C332,Student,10000.0,2023-05-12
CRD0497,C333,Silver,19000.0,2019-07-12
CRD0498,C334,Gold,75000.0,2022-07-04
CRD0499,C334,Business,113000.0,2019-02-23
CRD0500,C334,Silver,16000.0,2023-12-20
CRD0501,C335,Business,280000.0,2023-02-15
CRD0502,C335,Silver,27000.0,2025-10-07
CRD0503,C336,Gold,37000.0,2022-04-19
CRD0504,C337,Silver,27000.0,2021-02-04
CRD0505,C338,Silver,13000.0,2023-03-26
CRD0506,C338,Platinum,85000.0,2025-03-29
CRD0507,C338,Silver,15000.0,2025-07-20
CRD0508,C339,Platinum,109000.0,2020-09-26
CRD0509,C339,Platinum,91000.0,2025-09-10
CRD0510,C340,Business,257000.0,2022-05-18
CRD0511,C341,Platinum,92000.0,2019-10-26
CRD0512,C342,Gold,39000.0,2021-01-23
CRD0513,C342,Gold,75000.0,2024-08-31
CRD0514,C343,Platinum,125000.0,2020-01-12
CRD0515,C344,Student,7000.0,2022-09-18
CRD0516,C345,Platinum,146000.0,2024-12-12
CRD0517,C346,Student,2000.0,2020-04-14
CRD0518,C347,Platinum,65000.0,2025-11-18
CRD0519,C347,Business,162000.0,2019-06-13
CRD0520,C348,Student,3000.0,2023-04-30
CRD0521,C348,Student,6000.0,2019-04-12
CRD0522,C349,Silver,21000.0,2024-10-07
CRD0523,C349,Silver,24000.0,2024-06-16
CRD0524,C349,Platinum,133000.0,2021-02-27
CRD0525,C350,Platinum,62000.0,2020-11-16
CRD0526,C351,Gold,59000.0,2019-01-31
CRD0527,C351,Gold,38000.0,2021-05-23
CRD0528,C351,Gold,64000.0,2020-03-01
CRD0529,C352,Student,8000.0,2019-10-23
CRD0530,C353,Platinum,108000.0,2022-09-20
CRD0531,C353,Platinum,59000.0,2019-08-11
CRD0532,C354,Platinum,59000.0,2025-06-13
CRD0533,C355,Silver,23000.0,2023-05-09
CRD0534,C355,Gold,50000.0,2023-11-09
CRD0535,C356,Gold,32000.0,2024-12-30
CRD0536,C357,Silver,12000.0,2025-07-26
CRD0537,C358,Silver,21000.0,2024-08-21
CRD0538,C359,Gold,44000.0,2025-10-20
CRD0539,C360,Student,9000.0,2023-04-12
CRD0540,C361,Platinum,144000.0,2020-10-02
CRD0541,C362,Platinum,100000.0,2025-02-13
CRD0542,C363,Gold,44000.0,2023-03-09
CRD0543,C364,Platinum,121000.0,2020-08-02
CRD0544,C364,Platinum,50000.0,2025-06-03
CRD0545,C364,Platinum,51000.0,2025-02-20
CRD0546,C365,Platinum,145000.0,2022-11-09
CRD0547,C365,Platinum,132000.0,2024-09-30
CRD0548,C365,Platinum,73000.0,2021-06-23
CRD0549,C366,Gold,32000.0,2021-01-12
CRD0550,C366,Silver,28000.0,2019-08-11
CRD0551,C367,Student,10000.0,2024-03-04
CRD0552,C367,Student,3000.0,2022-04-05
CRD0553,C368,Platinum,75000.0,2025-07-06
CRD0554,C368,Gold,46000.0,2023-01-02
CRD0555,C369,Gold,31000.0,2022-03-13
