TransactionID,CustomerID,CardID,MerchantName,TransactionDate,Amount,TransactionType,Status,FraudFlag,Channel
TXN000085,C434,CRD0661,TicketPro,2020-01-01,749.97,Purchase,Declined,0,Online
TXN000086,C314,CRD0464,Chicken Licken,2023-07-20,112.24,Purchase,Approved,0,Online
TXN000087,C456,CRD0696,Steers,2020-12-31,106.95,Payment,Approved,0,Online
TXN000088,C414,CRD0627,Cape Union Mart,2020-08-27,374.24,Purchase,Approved,0,POS
TXN000089,C197,CRD0289,Google Play,2024-04-16,162.47,Purchase,Approved,0,Online
TXN000090,C304,CRD0446,Chicken Licken,2024-01-15,99.36,Purchase,Approved,0,POS
TXN000091,C451,CRD0687,Clicks,2024-11-23,399.58,Purchase,Declined,0,POS
TXN000092,C091,CRD0141,Gold Reef City,2024-10-09,177.36,Purchase,Approved,0,POS
TXN000093,C297,CRD0435,Kulula,2025-08-02,1786.27,Purchase,Approved,0,POS
TXN000094,C343,CRD0514,Nandos,2025-06-02,198.32,Payment,Approved,0,Online
TXN000095,C074,CRD0116,Shell,2023-02-18,91.22,Refund,Approved,0,POS
TXN000096,C413,CRD0625,Mr Price,2023-07-03,855.06,Purchase,Approved,0,ATM
TXN000097,C365,CRD0548,Apple iTunes,2024-09-20,273.88,Purchase,Approved,0,Online
TXN000098,C206,CRD0302,Steers,2022-12-28,234.88,Purchase,Approved,0,POS
TXN000099,C389,CRD0587,Checkers,2020-12-25,426.58,Refund,Approved,0,Online
TXN000100,C194,CRD0285,Truworths,2021-12-16,637.41,Purchase,Approved,0,Online
TXN000101,C444,CRD0675,Vida e Caffe,2020-05-15,78.05,Withdrawal,Approved,0,ATM
TXN000102,C056,CRD0087,Sportsmans Whouse,2024-08-18,4140.71,Purchase,Approved,0,POS
TXN000103,C308,CRD0451,Uber Eats,2022-12-18,198.66,Purchase,Approved,0,Online
TXN000104,C076,CRD0119,Checkers,2022-08-15,1021.04,Purchase,Declined,0,Online
TXN000105,C327,CRD0486,Nandos,2024-04-13,164.34,Purchase,Approved,0,ATM
TXN000106,C460,CRD0700,Loot.co.za,2023-01-21,1019.61,Purchase,Approved,0,Online
TXN000107,C187,CRD0274,Apple iTunes,2022-09-17,231.54,Purchase,Approved,0,Online
TXN000108,C400,CRD0603,ShowMax,2020-02-13,82.23,Purchase,Approved,0,Online
TXN000109,C045,CRD0070,Woolworths,2023-03-06,345.79,Purchase,Approved,0,POS
TXN000110,C418,CRD0635,Mr Price,2021-05-13,1017.87,Payment,Declined,0,Online
TXN000111,C080,CRD0123,Mr Price,2022-01-26,472.88,Purchase,Approved,0,Online
TXN000112,C177,CRD0260,Steers,2024-10-14,48.22,Purchase,Pending,0,Online
TXN000113,C229,CRD0332,Truworths,2020-09-03,266.37,Withdrawal,Approved,0,ATM
TXN000114,C185,CRD0272,Dis-Chem,2025-07-28,412.18,Purchase,Approved,0,POS
TXN000115,C433,CRD0659,Clicks,2024-12-28,679.43,Purchase,Approved,1,POS
TXN000116,C431,CRD0656,Woolworths,2024-05-21,780.92,Purchase,Approved,0,POS
TXN000117,C336,CRD0503,Vida e Caffe,2022-07-28,107.78,Purchase,Approved,0,POS
TXN000118,C366,CRD0549,Loot.co.za,2021-01-06,1294.35,Purchase,Approved,0,Online
TXN000119,C241,CRD0349,Makro,2020-06-10,6968.62,Purchase,Approved,0,Online
TXN000120,C209,CRD0307,Superbalist,2024-11-28,1474.3,Payment,Approved,0,Online
TXN000121,C093,CRD0144,Pick n Pay,2023-06-14,2242.04,Purchase,Approved,0,ATM
TXN000122,C312,CRD0461,Sportsmans Whouse,2024-07-28,1371.43,Purchase,Approved,0,ATM
TXN000123,C366,CRD0550,Dis-Chem,2020-03-19,835.34,Purchase,Approved,0,ATM
TXN000124,C028,CRD0047,Pep,2021-02-02,42.67,Purchase,Declined,0,POS
TXN000125,C402,CRD0606,Checkers,2020-09-15,275.21,Withdrawal,Approved,0,ATM
TXN000126,C298,CRD0437,KFC,2021-07-16,119.86,Withdrawal,Approved,0,ATM
TXN000127,C146,CRD0219,Spotify,2024-08-27,67.97,Purchase,Approved,0,Online
TXN000128,C376,CRD0567,Dis-Chem,2024-03-20,540.51,Purchase,Approved,0,POS
TXN000129,C334,CRD0499,Makro,2023-03-08,11140.23,Purchase,Approved,0,Online
TXN000130,C328,CRD0488,Takealot,2021-12-15,1137.7,Purchase,Approved,0,Online
TXN000131,C023,CRD0039,Ster-Kinekor,2024-09-26,413.56,Purchase,Approved,1,POS
TXN000132,C364,CRD0543,Cape Union Mart,2025-03-16,2604.67,Purchase,Approved,0,Online
TXN000133,C193,CRD0284,Checkers,2025-07-25,347.39,Purchase,Declined,0,POS
TXN000134,C258,CRD0373,Steers,2020-06-25,119.52,Purchase,Approved,0,ATM
TXN000135,C120,CRD0181,Dis-Chem,2024-12-26,641.17,Purchase,Approved,0,POS
TXN000136,C135,CRD0204,Spotify,2022-08-29,69.24,Payment,Approved,0,Online
TXN000137,C136,CRD0205,Ocean Basket,2021-08-28,346.08,Purchase,Declined,0,POS
TXN000138,C265,CRD0383,Clicks,2021-06-25,390.25,Purchase,Approved,0,POS
TXN000139,C073,CRD0114,Google Play,2021-10-04,50.95,Purchase,Declined,0,Online
TXN000140,C430,CRD0654,Loot.co.za,2024-08-13,1105.07,Payment,Approved,0,Online
TXN000141,C335,CRD0501,Google Play,2024-10-19,151.52,Purchase,Approved,0,Online
TXN000142,C171,CRD0253,Truworths,2020-01-21,538.12,Purchase,Declined,0,POS
TXN000143,C325,CRD0482,Uber Eats,2021-02-05,162.17,Purchase,Approved,0,Online
TXN000144,C166,CRD0247,Mr Price,2024-01-08,1069.2,Withdrawal,Approved,0,ATM
TXN000145,C436,CRD0664,Samsung Store,2020-04-09,10134.82,Purchase,Approved,0,POS
TXN000146,C091,CRD0142,Google Play,2020-01-06,86.09,Purchase,Approved,0,Online
TXN000147,C047,CRD0073,Ocean Basket,2022-04-28,374.84,Purchase,Approved,0,POS
TXN000148,C238,CRD0344,Uber Eats,2021-03-30,286.88,Purchase,Declined,0,Online
TXN000149,C322,CRD0477,Nu Metro,2022-04-27,88.92,Purchase,Approved,0,POS
TXN000150,C075,CRD0117,Montecasino,2022-07-12,1564.01,Withdrawal,Approved,0,ATM
TXN000151,C187,CRD0274,Romans Pizza,2025-08-15,71.03,Purchase,Approved,0,POS
TXN000152,C479,CRD0727,Chicken Licken,2020-09-28,152.43,Withdrawal,Approved,0,ATM
TXN000153,C058,CRD0090,Makro,2023-02-26,3716.66,Payment,Approved,0,Online
TXN000154,C339,CRD0509,Dis-Chem,2021-06-24,1309.89,Purchase,Approved,1,POS
TXN000155,C434,CRD0661,Pick n Pay,2025-10-29,98.48,Purchase,Approved,0,POS
TXN000156,C243,CRD0352,TicketPro,2024-12-28,632.71,Withdrawal,Approved,0,ATM
TXN000157,C385,CRD0581,Clicks,2023-03-26,127.89,Withdrawal,Approved,0,ATM
TXN000158,C029,CRD0049,Dis-Chem,2023-03-26,862.34,Purchase,Approved,0,Online
TXN000159,C466,CRD0710,Bash.com,2021-06-02,446.7,Withdrawal,Pending,0,Online
TXN000160,C262,CRD0379,Builders Warehouse,2024-03-07,583.31,Purchase,Approved,0,ATM
TXN000161,C365,CRD0547,Steers,2025-02-19,133.29,Payment,Approved,0,Online
TXN000162,C105,CRD0160,Woolworths,2025-04-25,1831.2,Withdrawal,Approved,0,ATM
TXN000163,C390,CRD0588,TicketPro,2021-04-05,327.7,Withdrawal,Approved,0,ATM
TXN000164,C025,CRD0042,Clicks,2024-12-31,205.61,Purchase,Approved,0,POS
TXN000165,C411,CRD0623,Gold Reef City,2020-04-28,216.64,Purchase,Approved,0,Online
TXN000166,C058,CRD0090,Cape Union Mart,2020-08-17,1532.54,Purchase,Approved,0,POS
TXN000167,C098,CRD0152,Amazon.co.za,2024-12-30,6248.66,Purchase,Approved,1,Online
TXN000168,C058,CRD0090,Pep,2021-11-01,380.07,Payment,Approved,0,Online
TXN000169,C297,CRD0435,Uber Eats,2023-05-27,346.05,Purchase,Approved,0,Online
TXN000170,C359,CRD0538,Cape Union Mart,2024-08-04,2164.2,Purchase,Approved,0,POS
TXN000171,C119,CRD0180,Protea Hotels,2024-04-12,3335.66,Purchase,Approved,0,POS
TXN000172,C211,CRD0310,Google Play,2020-01-27,175.72,Purchase,Approved,0,Online
TXN000173,C431,CRD0656,Google Play,2025-07-07,152.3,Purchase,Approved,0,Online
TXN000174,C434,CRD0661,Pep,2024-01-21,125.64,Purchase,Approved,0,POS
TXN000175,C180,CRD0265,DStv,2020-03-12,447.12,Purchase,Approved,0,POS
TXN000176,C038,CRD0060,Clicks,2024-01-19,203.32,Purchase,Approved,0,ATM
TXN000177,C252,CRD0365,Checkers,2022-01-20,1356.23,Purchase,Approved,0,POS
TXN000178,C112,CRD0172,Chicken Licken,2024-01-27,143.35,Payment,Approved,0,Online
TXN000179,C096,CRD0148,Woolworths,2021-10-26,749.56,Purchase,Approved,0,POS
TXN000180,C129,CRD0193,Apple iTunes,2021-04-11,356.0,Purchase,Approved,0,Online
TXN000181,C050,CRD0079,Clicks,2021-07-23,39.91,Purchase,Approved,0,Online
TXN000182,C405,CRD0612,Chicken Licken,2021-04-26,11.59,Refund,Approved,0,Online
TXN000183,C215,CRD0315,Clicks,2020-11-28,74.8,Purchase,Approved,0,Online
TXN000184,C026,CRD0044,Edgars,2022-11-27,1360.4,Purchase,Approved,0,Online
TXN000185,C065,CRD0099,Apple iTunes,2023-12-26,59.78,Payment,Approved,0,Online
TXN000186,C194,CRD0285,Loot.co.za,2022-09-17,451.76,Purchase,Approved,0,Online
TXN000187,C045,CRD0070,Foschini,2023-02-25,219.44,Purchase,Approved,0,ATM
TXN000188,C066,CRD0102,Faithful to Nature,2022-01-28,1716.87,Payment,Approved,0,Online
TXN000189,C070,CRD0110,Builders Warehouse,2021-04-07,5843.12,Purchase,Approved,0,POS
TXN000190,C322,CRD0478,Clicks,2020-06-28,220.57,Purchase,Approved,0,POS
TXN000191,C198,CRD0291,Vida e Caffe,2024-07-26,136.81,Withdrawal,Approved,0,ATM
TXN000192,C300,CRD0439,Edgars,2022-01-28,1701.19,Purchase,Approved,0,Online
TXN000193,C279,CRD0406,Debonairs,2021-02-20,80.4,Purchase,Approved,0,Online
TXN000194,C113,CRD0173,Checkers,2021-05-28,184.4,Refund,Pending,0,Online
TXN000195,C195,CRD0286,Spotify,2024-06-27,64.88,Withdrawal,Approved,0,Online
TXN000196,C450,CRD0683,Ster-Kinekor,2021-03-28,139.95,Purchase,Approved,0,POS
TXN000197,C425,CRD0644,Loot.co.za,2020-04-19,1396.48,Purchase,Approved,0,Online
TXN000198,C270,CRD0392,Ster-Kinekor,2025-10-30,109.95,Purchase,Approved,0,Online
TXN000199,C137,CRD0207,Steers,2020-03-13,116.93,Purchase,Approved,0,POS
TXN000200,C301,CRD0441,Google Play,2020-05-27,109.52,Purchase,Approved,0,Online
TXN000201,C476,CRD0724,Dis-Chem,2025-07-02,407.95,Purchase,Approved,0,Online
TXN000202,C388,CRD0586,Vida e Caffe,2024-03-27,39.38,Purchase,Approved,0,POS
TXN000203,C199,CRD0292,KFC,2020-04-20,49.13,Purchase,Approved,0,Online
TXN000204,C269,CRD0390,Mr Price,2022-10-27,453.45,Purchase,Approved,0,POS
TXN000205,C463,CRD0705,Checkers,2024-09-26,2879.19,Purchase,Approved,1,ATM
TXN000206,C187,CRD0274,Pick n Pay,2023-08-13,98.92,Purchase,Approved,0,Online
TXN000207,C067,CRD0103,Takealot,2021-11-13,1887.91,Purchase,Approved,0,Online
TXN000208,C258,CRD0373,Sportsmans Whouse,2022-05-26,3242.84,Purchase,Approved,0,POS
TXN000209,C390,CRD0588,Wimpy,2021-01-23,106.43,Purchase,Approved,0,POS
TXN000210,C385,CRD0581,Apple iTunes,2023-05-21,102.36,Purchase,Approved,0,Online
TXN000211,C209,CRD0308,Debonairs,2025-01-30,61.0,Purchase,Approved,0,POS
TXN000212,C013,CRD0020,DStv,2025-03-29,193.27,Purchase,Approved,0,Online
TXN000213,C415,CRD0630,Google Play,2022-04-01,99.12,Payment,Approved,0,Online
TXN000214,C098,CRD0152,Pep,2020-09-20,294.11,Withdrawal,Approved,0,ATM
TXN000215,C290,CRD0423,Nandos,2022-09-26,98.54,Purchase,Approved,0,POS
TXN000216,C217,CRD0318,Vida e Caffe,2021-10-14,78.61,Purchase,Approved,0,POS
TXN000217,C194,CRD0285,TicketPro,2020-03-25,1037.18,Purchase,Approved,0,POS
TXN000218,C208,CRD0306,Google Play,2021-01-04,132.78,Payment,Approved,0,Online
TXN000219,C492,CRD0742,Google Play,2022-10-28,134.9,Purchase,Approved,0,Online
TXN000220,C060,CRD0093,Pep,2024-05-16,308.31,Purchase,Approved,0,Online
TXN000221,C296,CRD0434,Pep,2020-08-17,103.87,Purchase,Approved,0,POS
TXN000222,C074,CRD0116,KFC,2021-08-16,149.87,Purchase,Declined,0,Online
TXN000223,C216,CRD0316,Pick n Pay,2020-08-11,345.7,Refund,Approved,0,Online
TXN000224,C166,CRD0246,Truworths,2021-05-14,1321.22,Purchase,Declined,0,POS
TXN000225,C310,CRD0454,Spur,2021-01-04,237.54,Payment,Approved,0,Online
TXN000226,C163,CRD0242,Steers,2024-07-22,67.83,Withdrawal,Approved,0,ATM
TXN000227,C191,CRD0281,Google Play,2023-09-24,212.5,Withdrawal,Approved,0,Online
TXN000228,C067,CRD0103,Google Play,2023-08-31,121.33,Purchase,Approved,0,Online
TXN000229,C018,CRD0029,Spotify,2020-01-13,57.24,Purchase,Approved,0,Online
TXN000230,C425,CRD0644,Steers,2021-06-16,60.79,Purchase,Approved,0,Online
TXN000231,C225,CRD0328,Vida e Caffe,2023-09-03,60.42,Payment,Approved,0,Online
TXN000232,C135,CRD0204,Mr Price,2022-07-25,648.47,Purchase,Approved,0,ATM
TXN000233,C436,CRD0663,Nu Metro,2021-11-28,92.29,Purchase,Approved,0,Online
TXN000234,C099,CRD0153,Mr Price,2024-11-17,1069.87,Purchase,Approved,0,ATM
TXN000235,C453,CRD0690,Mugg and Bean,2022-12-26,132.31,Purchase,Approved,0,POS
TXN000236,C088,CRD0134,Debonairs,2022-02-14,87.72,Purchase,Approved,0,POS
TXN000237,C097,CRD0150,Pick n Pay,2025-02-28,142.02,Refund,Approved,0,POS
TXN000238,C229,CRD0332,Sportsmans Whouse,2022-11-25,489.55,Purchase,Approved,0,POS
TXN000239,C162,CRD0241,Vida e Caffe,2020-07-28,95.64,Purchase,Approved,0,POS
TXN000240,C279,CRD0405,Takealot,2025-07-11,4627.8,Purchase,Approved,1,Online
TXN000241,C324,CRD0480,Clicks,2020-06-29,441.24,Purchase,Approved,0,POS
TXN000242,C196,CRD0288,Spotify,2022-12-16,68.6,Payment,Approved,0,Online
TXN000243,C305,CRD0447,Google Play,2024-12-26,223.86,Purchase,Approved,0,Online
TXN000244,C035,CRD0056,Pep,2025-07-27,156.74,Purchase,Approved,0,ATM
TXN000245,C382,CRD0575,Mugg and Bean,2021-01-27,297.8,Purchase,Approved,0,POS
TXN000246,C113,CRD0173,Spotify,2020-01-17,51.55,Withdrawal,Approved,0,Online
TXN000247,C387,CRD0585,Builders Warehouse,2023-09-25,2920.04,Payment,Approved,0,Online
TXN000248,C279,CRD0404,McDonalds,2025-02-28,53.26,Payment,Approved,0,Online
TXN000249,C445,CRD0676,Mugg and Bean,2020-06-28,149.35,Purchase,Approved,0,ATM
TXN000250,C229,CRD0333,Loot.co.za,2020-07-18,199.54,Refund,Approved,0,Online
TXN000251,C197,CRD0290,KFC,2024-06-21,53.17,Purchase,Approved,0,POS
TXN000252,C282,CRD0409,Mr Price,2021-09-28,152.51,Withdrawal,Approved,0,ATM
TXN000253,C303,CRD0443,Uber Eats,2021-01-28,132.3,Payment,Approved,0,Online
TXN000254,C350,CRD0525,Totalsports,2021-01-04,1080.37,Purchase,Approved,0,Online
TXN000255,C415,CRD0629,Edgars,2022-07-07,155.77,Purchase,Pending,0,Online
TXN000256,C339,CRD0508,Chicken Licken,2025-05-10,62.44,Purchase,Approved,0,ATM
TXN000257,C460,CRD0701,Google Play,2020-11-09,124.85,Withdrawal,Approved,0,Online
TXN000258,C351,CRD0526,Clicks,2022-11-03,83.86,Purchase,Approved,0,POS
TXN000259,C345,CRD0516,Pick n Pay,2020-07-27,1420.86,Withdrawal,Approved,0,ATM
TXN000260,C220,CRD0322,Ster-Kinekor,2022-02-25,170.59,Purchase,Approved,0,Online
TXN000261,C408,CRD0619,Truworths,2025-05-08,2152.91,Purchase,Approved,1,POS
TXN000262,C443,CRD0674,Zando,2024-01-17,1083.71,Purchase,Pending,0,Online
TXN000263,C464,CRD0707,Takealot,2020-03-06,198.98,Withdrawal,Approved,0,Online
TXN000264,C129,CRD0193,Google Play,2022-02-28,200.91,Purchase,Approved,0,Online
TXN000265,C098,CRD0152,Vida e Caffe,2025-06-09,51.61,Purchase,Approved,0,Online
TXN000266,C398,CRD0600,Pep,2021-02-24,316.16,Purchase,Approved,0,Online
TXN000267,C292,CRD0426,Google Play,2025-06-19,140.13,Withdrawal,Approved,0,Online
TXN000268,C351,CRD0526,Ster-Kinekor,2020-09-05,171.98,Purchase,Approved,0,POS
TXN000269,C221,CRD0324,SAA,2023-11-21,2026.26,Purchase,Approved,0,POS
TXN000270,C109,CRD0166,Steers,2023-10-21,121.39,Purchase,Approved,0,Online
TXN000271,C485,CRD0733,TicketPro,2024-01-15,320.58,Purchase,Declined,0,Online
TXN000272,C109,CRD0166,Nu Metro,2022-03-28,242.83,Purchase,Approved,0,POS
TXN000273,C292,CRD0426,Loot.co.za,2024-01-09,478.36,Purchase,Pending,0,Online
TXN000274,C253,CRD0366,Takealot,2023-10-15,3230.01,Purchase,Approved,0,Online
TXN000275,C417,CRD0633,Pep,2020-07-10,197.8,Purchase,Approved,0,POS
TXN000276,C101,CRD0155,Google Play,2024-11-28,69.39,Payment,Approved,0,Online
TXN000277,C073,CRD0114,Sportsmans Whouse,2020-06-20,2344.76,Withdrawal,Approved,0,ATM
TXN000278,C112,CRD0172,DStv,2024-12-13,555.49,Payment,Approved,0,Online
TXN000279,C341,CRD0511,Uber Eats,2022-04-06,215.3,Purchase,Approved,0,Online
TXN000280,C292,CRD0426,ShowMax,2021-12-27,78.34,Purchase,Approved,0,Online
TXN000281,C485,CRD0733,Spotify,2024-09-23,50.03,Purchase,Approved,0,Online
TXN000282,C091,CRD0142,Apple iTunes,2024-01-21,89.35,Purchase,Approved,0,Online
TXN000283,C310,CRD0454,Clicks,2023-07-13,489.56,Purchase,Approved,0,Online
TXN000284,C304,CRD0445,Checkers,2020-08-24,660.57,Withdrawal,Declined,0,ATM
TXN000285,C483,CRD0731,Apple iTunes,2023-05-31,487.31,Payment,Declined,0,Online
TXN000286,C220,CRD0322,Bash.com,2024-07-12,701.53,Purchase,Declined,0,Online
TXN000287,C139,CRD0211,Google Play,2024-07-14,70.64,Purchase,Approved,0,Online
TXN000288,C210,CRD0309,Mr Price,2025-11-01,487.54,Purchase,Declined,0,POS
TXN000289,C063,CRD0096,Romans Pizza,2022-11-27,81.29,Purchase,Approved,0,Online
TXN000290,C347,CRD0518,Clicks,2020-07-14,242.6,Purchase,Approved,0,ATM
TXN000291,C312,CRD0460,Steers,2022-08-15,142.82,Withdrawal,Approved,0,ATM
TXN000292,C199,CRD0292,TicketPro,2022-10-26,728.33,Withdrawal,Approved,0,ATM
TXN000293,C257,CRD0370,Vida e Caffe,2024-10-06,77.57,Purchase,Approved,0,POS
TXN000294,C311,CRD0457,Makro,2022-12-16,1870.74,Purchase,Approved,0,Online
TXN000295,C308,CRD0451,Takealot,2025-09-28,2757.35,Payment,Approved,0,Online
TXN000296,C088,CRD0133,Sportsmans Whouse,2020-05-13,2054.91,Purchase,Approved,0,ATM
